B.A TAMIL,B.A ENGLISH,B.B.A,B.C.A,B.Com,B.Com ACCOUNTING AND FINANCE,B.Com With COMPUTER APPLICATIONS,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),B.Sc BIOCHEMISTRY,B.Sc COSTUME DESIGN AND FASHION,B.Sc CLINICAL LABORATORY TECHNOLOGY,B.Sc COMPUTER SCIENCE, B.Sc COMPUTER SCIENCE (CYBER SECURITY),B.Sc DATA SCIENCE,B.Sc INFORMATION TECHNOLOGY, B.Sc MICROBIOLOGY,B.Sc TEXTILE AND FASHION DESIGNING,B.Sc VISUAL COMMUNICATION
,,C23UG208BAD044,C23UG208CAP037,C23UG208COM038,,C23UG208CCA039,C23UG208AID037,,,,C23UG208CSC036,,,,C23UG208MIB037,,
,,C23UG208BAD045,C23UG208CAP038,C23UG208COM040,,C23UG208CCA040,C23UG208AID038,,,,C23UG208CSC037,,,,C23UG208MIB038,,
,,C23UG208BAD046,C23UG208CAP039,C23UG208COM041,,C23UG208CCA041,C23UG208AID039,,,,C23UG208CSC039,,,,C23UG208MIB039,,
,,C23UG208BAD048,C23UG208CAP040,C23UG208COM042,,C23UG208CCA042,,,,,C23UG208CSC040,,,,C23UG208MIB040,,
,,C23UG208BAD049,C23UG208CAP041,C23UG208COM044,,C23UG208CCA043,,,,,C23UG208CSC041,,,,C23UG208MIB041,,
,,C23UG208BAD050,C23UG208CAP042,C23UG208COM045,,C23UG208CCA044,,,,,C23UG208CSC042,,,,C23UG208MIB042,,
,,C23UG208BAD053,C23UG208CAP043,C23UG208COM046,,C23UG208CCA046,,,,,C23UG208CSC043,,,,C23UG208MIB043,,
,,C23UG208BAD054,C23UG208CAP044,C23UG208COM047,,C23UG208CCA047,,,,,C23UG208CSC044,,,,C23UG208MIB044,,
,,C23UG208BAD055,C23UG208CAP045,C23UG208COM048,,C23UG208CCA048,,,,,C23UG208CSC045,,,,C23UG208MIB045,,
,,C23UG208BAD056,C23UG208CAP046,C23UG208COM049,,C23UG208CCA049,,,,,C23UG208CSC046,,,,C23UG208MIB046,,
,,C23UG208BAD058,C23UG208CAP047,C23UG208COM050,,C23UG208CCA050,,,,,C23UG208CSC047,,,,C23UG208MIB048,,
,,C23UG208BAD059,C23UG208CAP048,C23UG208COM051,,C23UG208CCA051,,,,,C23UG208CSC048,,,,C23UG208MIB049,,
,,C23UG208BAD060,C23UG208CAP049,C23UG208COM052,,C23UG208CCA052,,,,,C23UG208CSC049,,,,C23UG208MIB050,,
,,C23UG208BAD061,C23UG208CAP050,C23UG208COM053,,C23UG208CCA053,,,,,C23UG208CSC050,,,,C23UG208MIB051,,
,,C23UG208BAD062,C23UG208CAP051,C23UG208COM054,,C23UG208CCA054,,,,,C23UG208CSC051,,,,C23UG208MIB052,,
,,C23UG208BAD063,C23UG208CAP052,C23UG208COM055,,C23UG208CCA055,,,,,C23UG208CSC052,,,,C23UG208MIB053,,
,,C23UG208BAD064,C23UG208CAP053,C23UG208COM057,,C23UG208CCA056,,,,,C23UG208CSC054,,,,C23UG208MIB054,,
,,C23UG208BAD066,C23UG208CAP054,C23UG208COM058,,C23UG208CCA057,,,,,C23UG208CSC055,,,,C23UG208MIB055,,
,,C23UG208BAD067,C23UG208CAP055,C23UG208COM059,,C23UG208CCA058,,,,,C23UG208CSC056,,,,C23UG208MIB056,,
,,C23UG208BAD068,C23UG208CAP056,C23UG208COM060,,C23UG208CCA060,,,,,C23UG208CSC058,,,,C23UG208MIB057,,
,,C23UG208BAD070,C23UG208CAP058,C23UG208COM061,,C23UG208CCA061,,,,,C23UG208CSC059,,,,C23UG208MIB058,,
,,C23UG208BAD071,C23UG208CAP059,C23UG208COM062,,C23UG208CCA062,,,,,C23UG208CSC060,,,,C23UG208MIB059,,
,,C23UG208BAD072,C23UG208CAP060,C23UG208COM063,,C23UG208CCA063,,,,,C23UG208CSC061,,,,C23UG208MIB060,,
,,C23UG208BAD073,C23UG208CAP061,C23UG208COM064,,C23UG208CCA064,,,,,C23UG208CSC062,,,,C23UG208MIB063,,
,,C23UG208BAD074,C23UG208CAP062,C23UG208COM065,,C23UG208CCA065,,,,,C23UG208CSC063,,,,C23UG208MIB064,,
,,C23UG208BAD075,C23UG208CAP063,C23UG208COM066,,C23UG208CCA066,,,,,C23UG208CSC065,,,,C23UG208MIB065,,
,,C23UG208BAD076,C23UG208CAP064,C23UG208COM067,,C23UG208CCA067,,,,,C23UG208CSC066,,,,C23UG208MIB066,,
,,C23UG208BAD077,C23UG208CAP066,C23UG208COM068,,C23UG208CCA068,,,,,C23UG208CSC067,,,,C23UG208MIB067,,
,,C23UG208BAD078,C23UG208CAP068,C23UG208COM069,,C23UG208CCA069,,,,,C23UG208CSC068,,,,C23UG208MIB068,,
,,C23UG208BAD079,C23UG208CAP069,C23UG208COM070,,C23UG208CCA070,,,,,C23UG208CSC071,,,,C23UG208MIB069,,
,,C23UG208BAD080,C23UG208CAP070,C23UG208COM071,,C23UG208CCA071,,,,,C23UG208CSC072,,,,C23UG208MIB070,,
,,C23UG208BAD081,C23UG208CAP071,C23UG208COM072,,C23UG208CCA072,,,,,C23UG208CSC073,,,,C23UG208MIB071,,
,,C23UG208BAD082,C23UG208CAP073,C23UG208COM073,,C23UG208CCA073,,,,,C23UG208CSC075,,,,C23UG208MIB072,,
,,,C23UG208CAP074,C23UG208COM074,,C23UG208CCA074,,,,,C23UG208CSC076,,,,C23UG208MIB074,,
