B.A TAMIL,B.A ENGLISH,B.B.A,B.C.A,B.Com,B.Com ACCOUNTING AND FINANCE, DEPARTMENT OF COMMERCE IT ,DEPARTEMNT OF COMMERCE PA,B.Com With COMPUTER APPLICATIONS,B.Sc BIOCHEMISTRY,B.Sc COSTUME DESIGN AND FASHION,B.Sc CLINICAL LABORATORY TECHNOLOGY,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),B.Sc COMPUTER SCIENCE,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING, B.Sc COMPUTER SCIENCE (CYBER SECURITY),B.Sc DATA SCIENCE,B.Sc INFORMATION TECHNOLOGY, B.Sc MICROBIOLOGY,B.Sc TEXTILE AND FASHION DESIGNING,B.Sc VISUAL COMMUNICATION,M.Sc MICROBIOLOGY,M.Com,M.Sc COMPUTER SCIENCE,M.A ENGLISH,M.Sc TFD, M.S.W
,,C25UG208BAD040,C25UG208CAP041,C25UG208COM041,,C25UG208CIT040,,C25UG208CCA044,,,,C25UG208AID042,C25UG208CSC042,,,,C25UG208INT041,C25UG208MIB040,,,,,,,,
,,C25UG208BAD041,C25UG208CAP042,C25UG208COM042,,C25UG208CIT041,,C25UG208CCA045,,,,C25UG208AID043,C25UG208CSC043,,,,C25UG208INT042,C25UG208MIB041,,,,,,,,
,,C25UG208BAD042,C25UG208CAP043,C25UG208COM043,,C25UG208CIT042,,C25UG208CCA046,,,,C25UG208AID044,C25UG208CSC044,,,,C25UG208INT043,C25UG208MIB042,,,,,,,,
,,C25UG208BAD043,C25UG208CAP044,C25UG208COM044,,C25UG208CIT043,,C25UG208CCA047,,,,C25UG208AID045,C25UG208CSC045,,,,C25UG208INT045,C25UG208MIB043,,,,,,,,
,,C25UG208BAD044,C25UG208CAP045,C25UG208COM045,,C25UG208CIT044,,C25UG208CCA048,,,,C25UG208AID046,C25UG208CSC046,,,,C25UG208INT046,C25UG208MIB044,,,,,,,,
,,C25UG208BAD045,C25UG208CAP046,C25UG208COM046,,C25UG208CIT045,,C25UG208CCA049,,,,C25UG208AID047,C25UG208CSC047,,,,C25UG208INT048,C25UG208MIB045,,,,,,,,
,,C25UG208BAD046,C25UG208CAP047,C25UG208COM047,,C25UG208CIT046,,C25UG208CCA050,,,,C25UG208AID048,C25UG208CSC048,,,,C25UG208INT049,C25UG208MIB046,,,,,,,,
,,C25UG208BAD047,C25UG208CAP048,C25UG208COM048,,C25UG208CIT047,,C25UG208CCA051,,,,C25UG208AID049,C25UG208CSC049,,,,C25UG208INT050,C25UG208MIB047,,,,,,,,
,,C25UG208BAD048,C25UG208CAP049,C25UG208COM049,,C25UG208CIT048,,C25UG208CCA052,,,,C25UG208AID050,C25UG208CSC050,,,,C25UG208INT051,C25UG208MIB048,,,,,,,,
,,C25UG208BAD049,C25UG208CAP050,C25UG208COM050,,C25UG208CIT049,,C25UG208CCA053,,,,C25UG208AID051,C25UG208CSC051,,,,C25UG208INT052,C25UG208MIB049,,,,,,,,
,,C25UG208BAD050,C25UG208CAP051,C25UG208COM051,,C25UG208CIT050,,C25UG208CCA054,,,,C25UG208AID052,C25UG208CSC052,,,,C25UG208INT053,C25UG208MIB050,,,,,,,,
