B.A TAMIL,B.B.A,B.C.A,B.Com,B.Com ACCOUNTING AND FINANCE,B.Com With COMPUTER APPLICATIONS,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),B.Sc BIOCHEMISTRY,B.Sc COSTUME DESIGN AND FASHION,B.Sc CLINICAL LABORATORY TECHNOLOGY,B.Sc COMPUTER SCIENCE, B.Sc COMPUTER SCIENCE (CYBER SECURITY),B.Sc DATA SCIENCE,B.Sc INFORMATION TECHNOLOGY, B.Sc MICROBIOLOGY,B.Sc TEXTILE AND FASHION DESIGNING,B.Sc VISUAL COMMUNICATION,M.Sc MICROBIOLOGY,M.Com,M.Sc COMPUTER SCIENCE,M.A ENGLISH
,C24UG208BAD039,C24UG208CAP034,C24UG208COM043,,C24UG208CCA036,C24UG208AID036,,,,C24UG208CSC040,,,C24UG208INT038,C24UG208MIB039,,,,,,
,C24UG208BAD040,C24UG208CAP035,C24UG208COM044,,C24UG208CCA037,C24UG208AID037,,,,C24UG208CSC041,,,C24UG208INT039,C24UG208MIB040,,,,,,
,C24UG208BAD041,C24UG208CAP036,C24UG208COM045,,C24UG208CCA038,C24UG208AID038,,,,C24UG208CSC044,,,,C24UG208MIB041,,,,,,
,C24UG208BAD042,C24UG208CAP037,C24UG208COM046,,C24UG208CCA039,C24UG208AID039,,,,C24UG208CSC045,,,,C24UG208MIB042,,,,,,
,C24UG208BAD044,C24UG208CAP038,C24UG208COM047,,C24UG208CCA040,C24UG208AID040,,,,C24UG208CSC046,,,,C24UG208MIB043,,,,,,
,C24UG208BAD046,C24UG208CAP039,C24UG208COM048,,C24UG208CCA041,C24UG208AID041,,,,C24UG208CSC047,,,,C24UG208MIB044,,,,,,
,C24UG208BAD047,C24UG208CAP040,C24UG208COM049,,C24UG208CCA042,C24UG208AID042,,,,C24UG208CSC048,,,,C24UG208MIB045,,,,,,
,C24UG208BAD048,C24UG208CAP041,C24UG208COM051,,C24UG208CCA043,C24UG208AID043,,,,C24UG208CSC049,,,,C24UG208MIB046,,,,,,
,C24UG208BAD049,C24UG208CAP042,C24UG208COM052,,C24UG208CCA044,C24UG208AID044,,,,C24UG208CSC050,,,,C24UG208MIB047,,,,,,
,C24UG208BAD050,C24UG208CAP043,C24UG208COM053,,C24UG208CCA045,C24UG208AID045,,,,C24UG208CSC051,,,,C24UG208MIB050,,,,,,
,C24UG208BAD051,C24UG208CAP044,C24UG208COM054,,C24UG208CCA046,C24UG208AID046,,,,C24UG208CSC052,,,,,,,,,,
,C24UG208BAD054,C24UG208CAP045,C24UG208COM055,,C24UG208CCA047,C24UG208AID047,,,,C24UG208CSC053,,,,,,,,,,
,C24UG208BAD055,C24UG208CAP046,C24UG208COM056,,C24UG208CCA048,C24UG208AID048,,,,C24UG208CSC054,,,,,,,,,,
,C24UG208BAD056,C24UG208CAP047,C24UG208COM057,,C24UG208CCA049,C24UG208AID049,,,,C24UG208CSC056,,,,,,,,,,
,C24UG208BAD057,C24UG208CAP048,C24UG208COM058,,C24UG208CCA050,C24UG208AID050,,,,C24UG208CSC057,,,,,,,,,,
,C24UG208BAD059,C24UG208CAP049,C24UG208COM059,,C24UG208CCA051,C24UG208AID051,,,,C24UG208CSC058,,,,,,,,,,
,C24UG208BAD062,C24UG208CAP050,C24UG208COM060,,C24UG208CCA052,C24UG208AID052,,,,C24UG208CSC059,,,,,,,,,,
,C24UG208BAD063,C24UG208CAP051,C24UG208COM061,,C24UG208CCA053,C24UG208AID053,,,,C24UG208CSC060,,,,,,,,,,
,C24UG208BAD064,C24UG208CAP052,C24UG208COM062,,C24UG208CCA054,C24UG208AID054,,,,C24UG208CSC061,,,,,,,,,,
,C24UG208BAD065,C24UG208CAP053,C24UG208COM063,,C24UG208CCA056,C24UG208AID055,,,,C24UG208CSC062,,,,,,,,,,
,C24UG208BAD066,C24UG208CAP054,C24UG208COM064,,C24UG208CCA057,C24UG208AID056,,,,C24UG208CSC063,,,,,,,,,,
,C24UG208BAD068,C24UG208CAP056,C24UG208COM065,,C24UG208CCA058,C24UG208AID057,,,,C24UG208CSC065,,,,,,,,,,
,C24UG208BAD069,C24UG208CAP057,C24UG208COM066,,C24UG208CCA059,C24UG208AID058,,,,C24UG208CSC066,,,,,,,,,,
,C24UG208BAD070,C24UG208CAP059,C24UG208COM067,,C24UG208CCA060,C24UG208AID059,,,,C24UG208CSC067,,,,,,,,,,
,C24UG208BAD072,C24UG208CAP060,C24UG208COM068,,C24UG208CCA062,C24UG208AID060,,,,C24UG208CSC068,,,,,,,,,,
,C24UG208BAD073,C24UG208CAP061,C24UG208COM070,,C24UG208CCA063,C24UG208AID062,,,,,,,,,,,,,,
,C24UG208BAD074,C24UG208CAP062,C24UG208COM071,,C24UG208CCA064,C24UG208AID063,,,,,,,,,,,,,,
,C24UG208BAD075,C24UG208CAP063,C24UG208COM072,,C24UG208CCA065,C24UG208AID064,,,,,,,,,,,,,,
,C24UG208BAD076,C24UG208CAP064,C24UG208COM073,,C24UG208CCA066,C24UG208AID065,,,,,,,,,,,,,,
,C24UG208BAD077,C24UG208CAP065,C24UG208COM074,,C24UG208CCA067,,,,,,,,,,,,,,,
,C24UG208BAD078,C24UG208CAP066,C24UG208COM075,,C24UG208CCA068,,,,,,,,,,,,,,,
,C24UG208BAD079,C24UG208CAP067,C24UG208COM076,,C24UG208CCA069,,,,,,,,,,,,,,,
,C24UG208BAD080,C24UG208CAP068,C24UG208COM077,,C24UG208CCA070,,,,,,,,,,,,,,,
,C24UG208BAD081,,C24UG208COM078,,C24UG208CCA071,,,,,,,,,,,,,,,
,C24UG208BAD082,,C24UG208COM079,,C24UG208CCA072,,,,,,,,,,,,,,,
,,,C24UG208COM080,,C24UG208CCA073,,,,,,,,,,,,,,,
,,,C24UG208COM082,,C24UG208CCA075,,,,,,,,,,,,,,,
,,,C24UG208COM083,,C24UG208CCA078,,,,,,,,,,,,,,,
,,,C24UG208COM084,,C24UG208CCA079,,,,,,,,,,,,,,,
,,,C24UG208COM085,,C24UG208CCA080,,,,,,,,,,,,,,,
,,,C24UG208COM086,,C24UG208CCA081,,,,,,,,,,,,,,,
,,,C24UG208COM087,,C24UG208CCA083,,,,,,,,,,,,,,,
,,,C24UG208COM088,,C24UG208CCA084,,,,,,,,,,,,,,,
,,,,,C24UG208CCA085,,,,,,,,,,,,,,,
,,,,,C24UG208CCA086,,,,,,,,,,,,,,,
,,,,,C24UG208CCA087,,,,,,,,,,,,,,,
,,,,,C24UG208CCA088,,,,,,,,,,,,,,,
,,,,,C24UG208CCA089,,,,,,,,,,,,,,,
,,,,,C24UG208CCA090,,,,,,,,,,,,,,,
,,,,,C24UG208CCA091,,,,,,,,,,,,,,,
,,,,,C24UG208CCA092,,,,,,,,,,,,,,,
,,,,,C24UG208CCA093,,,,,,,,,,,,,,,
,,,,,C24UG208CCA094,,,,,,,,,,,,,,,
,,,,,C24UG208CCA095,,,,,,,,,,,,,,,
,,,,,C24UG208CCA096,,,,,,,,,,,,,,,
,,,,,C24UG208CCA097,,,,,,,,,,,,,,,
,,,,,C24UG208CCA098,,,,,,,,,,,,,,,
,,,,,C24UG208CCA099,,,,,,,,,,,,,,,
,,,,,C24UG208CCA100,,,,,,,,,,,,,,,
,,,,,C24UG208CCA101,,,,,,,,,,,,,,,
,,,,,C24UG208CCA102,,,,,,,,,,,,,,,
,,,,,C24UG208CCA104,,,,,,,,,,,,,,,
,,,,,C24UG208CCA105,,,,,,,,,,,,,,,
,,,,,C24UG208CCA107,,,,,,,,,,,,,,,
,,,,,C24UG208CCA108,,,,,,,,,,,,,,,
,,,,,C24UG208CCA109,,,,,,,,,,,,,,,
,,,,,C24UG208CCA110,,,,,,,,,,,,,,,
,,,,,C24UG208CCA111,,,,,,,,,,,,,,,
,,,,,C24UG208CCA112,,,,,,,,,,,,,,,
,,,,,C24UG208CCA113,,,,,,,,,,,,,,,
,,,,,C24UG208CCA114,,,,,,,,,,,,,,,
,,,,,C24UG208CCA115,,,,,,,,,,,,,,,
,,,,,C24UG208CCA117,,,,,,,,,,,,,,,
,,,,,C24UG208CCA118,,,,,,,,,,,,,,,
,,,,,C24UG208CCA121,,,,,,,,,,,,,,,
,,,,,C24UG208CCA122,,,,,,,,,,,,,,,
,,,,,C24UG208CCA123,,,,,,,,,,,,,,,
,,,,,C24UG208CCA124,,,,,,,,,,,,,,,
,,,,,C24UG208CCA125,,,,,,,,,,,,,,,
,,,,,C24UG208CCA126,,,,,,,,,,,,,,,
,,,,,C24UG208CCA127,,,,,,,,,,,,,,,
,,,,,C24UG208CCA128,,,,,,,,,,,,,,,
,,,,,C24UG208CCA129,,,,,,,,,,,,,,,
,,,,,C24UG208CCA130,,,,,,,,,,,,,,,
,,,,,C24UG208CCA131,,,,,,,,,,,,,,,
,,,,,C24UG208CCA132,,,,,,,,,,,,,,,
,,,,,C24UG208CCA133,,,,,,,,,,,,,,,
,,,,,C24UG208CCA134,,,,,,,,,,,,,,,
,,,,,C24UG208CCA135,,,,,,,,,,,,,,,
,,,,,C24UG208CCA136,,,,,,,,,,,,,,,
,,,,,C24UG208CCA137,,,,,,,,,,,,,,,
,,,,,C24UG208CCA138,,,,,,,,,,,,,,,
,,,,,C24UG208CCA139,,,,,,,,,,,,,,,
,,,,,C24UG208CCA140,,,,,,,,,,,,,,,
,,,,,C24UG208CCA143,,,,,,,,,,,,,,,
