S.NO,YEAR,SEM,PAPER CODE,DEPARTMENT,TITLE OF THE PAPER,STR,EXAM DATE,SESSION
220,III,VI,23UCTE05,B.Sc CLINICAL LABORATORY TECHNOLOGY,PHARMACUETICAL BIOCHEMISTRY,20,11.02.2026,FN
221,III,VI,23UCTE07,B.Sc CLINICAL LABORATORY TECHNOLOGY,CLINICAL LABORATORY ETHICS AND DOCUMENTATION,20,11.02.2026,AN
222,I,II,24UFTA02,B.Sc COMPUTER SCIENCE,GENERAL TAMIL II,85,10.02.2026,FN
223,I,II,24UFEN02,B.Sc COMPUTER SCIENCE,GENERAL ENGLISH II,85,10.02.2026,AN
224,I,II,23UCS02,B.Sc COMPUTER SCIENCE,DATA STRUCTURE AND ALGORITHMS,85,11.02.2026,FN
225,I,II,23UCS03,B.Sc COMPUTER SCIENCE,WEB DESIGN ,85,11.02.2026,AN
226,I,II,23USTA02,B.Sc COMPUTER SCIENCE,STATISTICAL METHODS AND ITS APPLICATIONS-II,85,12.02.2026,FN
227,I,II,25UDM01,B.Sc COMPUTER SCIENCE,DISASTER MANAGEMENT,85,13.02.2026,FN
228,I,II,23UCMN02,B.Sc COMPUTER SCIENCE,ADVERTISING,85,13.02.2026,AN
229,II,IV,24UFTA04,B.Sc COMPUTER SCIENCE,GENERAL TAMIL IV,60,10.02.2026,FN
